Part Name,Description,Quantity
MF10-05-11 MASK-FULL,"Part Number: MF10-05-11Description: MASK-FULL FACE QUICK DONNING",1
85780333-107 TRACK UPPER,"Part Number: 85780333-107Description: TRACK, UPPER",1
20032-2 AC GENERATOR,"Part Number: 20032-2Description: AC GENERATOR",1
397B030000 THERMOSTAT,"Part Number: 397B030000Description: THERMOSTAT SOLENOID",1
3088477-1-1 BOLT SHOULDER,"Part Number: 3088477-1-1Description: BOLT SHOULDER",1
103-003-2 HALL SENSOR,"Part Number: 103-003-2Description: HALL EFFECT SENSOR",1
F70199-1 TIRE GAUGE,"Part Number: F70199-1Description: TYRE PRESSURE INFLATOR",1
SIC5077-4 COMPUTER,"Part Number: SIC5077-4Description: COMPUTER FUEL QTYCMM",1
3-1461-1 WHEEL MAIN,"Part Number: 3-1461-1Description: WHEEL ASSY MLG",1
1145-0015 TRANSMITTER,"Part Number: 1145-0015Description: WATER QUANTITY TRANSMITTER",1
295W1702-3 TRUNION,"Part Number: 295W1702-3Description: TRUNION",1
67847-101 EVACUATION,"Part Number: 67847-101Description: FLAP DRIVE TRANSMISSION",1
190-32435-004 RAIL,"Part Number: 190-32435-004Description: RAIL",1
61620-468 SLIDE,"Part Number: 61620-468Description: EVACUATION SLIDE ASSEMBLY",1
02-7813-0100 HYDRAULIC JACK,"Part Number: 02-7813-0100Description: JACK, MAIN GEAR, AXLE, 12 TONS",1
6774G010000 VALVE PRESSURE,"Part Number: 6774G010000Description: VALVE-BLEED PRESSURE REGULATING",1
4-416-1 TORQUE PLAT,"Part Number: 4-416-1Description: TORQUE PLATE ASSY",1
03-5800-0010 STABILIZER,"Part Number: 03-5800-0010Description: SUPPORT, FUSELAGE",1
0851CM-2 PITOT PROBE,"Part Number: 0851CM-2Description: PITOT TUBECOLD CLIMATE PITOT PRO",1
473597-18 SMOKE DETECTOR,"Part Number: 473597-18Description: SMOKE DETECTOR (95%-97%) W/FAN",1
473597-1 SMOKE DETECTOR,"Part Number: 473597-1Description: SMOKE DETECTOR (91%-97%) W/FAN",1
473275-03 FLAME DETECTOR,"Part Number: 473275-03Description: FLAME DETECTOR (BEECH)",1
473597-2 SMOKE DETECTOR,"Part Number: 473597-2Description: SMOKE DETECTOR, MODEL",1
473227-01 FLAME DETECTOR,"Part Number: 473227-01Description: FLAME DETECTOR",1
58311-006 CARTRIDGE,"Part Number: 58311-006Description: CARTRIDGE (KIDDE-GRAVINER)",1
473597-31 M2K SMOKE DETECTOR,"Part Number: 473597-31Description: M2K SMOKE DETECTOR",1
475571-29 DISCRETE CABIN SMOKE DETECTOR,"Part Number: 475571-29Description: DISCRETE CABIN SMOKE DETECTOR",1
A805300-44 CARTRIDGE,"Part Number: A805300-44Description: CARTRIDGE, POWER DEVICE",1
474358 SMOKE DET.,"Part Number: 474358Description: SMOKE DET.(95-97%) W/FAN ARJ21",1
473597-4-07 SMOKE DETECTOR,"Part Number: 473597-4-07Description: SMOKE DETECTOR /DUAL/ (MOD-07)",1
A805300-45 CARTRIDGE,"Part Number: A805300-45Description: CARTRIDGE",1
446055 WIRE CONNECTOR,"Part Number: 446055Description: WIRE CONNECTOR, SOCKET RECEPTA",1
473155 TESTER ASSY.4.3 FLAME DETECTOR,"Part Number: 473155Description: TESTER ASSY.4.3 FLAME DETECTOR",1
473597-15 SMOKE DETECTOR,"Part Number: 473597-15Description: SMOKE DETECTOR (93%-96%)",1
30-326T-1 CONTROL AMP ASSY 28 VDC,"Part Number: 30-326T-1Description: CONTROL AMP ASSY 28 VDC",1
446164 DISCHARGE HEAD,"Part Number: 446164Description: DISCHARGE HEAD",1
31712-302 CHARGE PLUG,"Part Number: 31712-302Description: CHARGE PLUG",1
58331-001 INDICATOR,"Part Number: 58331-001Description: INDICATOR (KIDDE-GRAVINER)",1
4950009 SPEED SENSOR,"Part Number: 4950009Description: SENSOR, ENGINE SPEED",1
5909849 SENSOR,"Part Number: 5909849Description: SENSOR OIL LEVEL",1
811149-1 ACTUATOR,"Part Number: 811149-1Description: ACTUATOR, ENGINE CONTROL",1
822-0330-001 TRANSCEIVER,"Part Number: 822-0330-001Description: HF RECEIVER TRANSMITTER",1
EVR750-03-0100A TRANSCEIVER VHF,"Part Number: EVR750-03-0100ADescription: ENHANCED VHF TRANSCEIVER",1
4951652 OIL COOLER,"Part Number: 4951652Description: OIL COOLER",1
4101099H COOLING FAN,"Part Number: 4101099HDescription: FAN ASSY-COOLING",1
4100837G BLEED CONTROL VALVE,"Part Number: 4100837GDescription: VALVE ASSY-BLEED CONTROL",1
066-50008-0407 RADAR TRANSCEIVER,"Part Number: 066-50008-0407Description: TRANSCEIVER WEATHER RADAR",1
43885001 OZONE CONVERTOR,"Part Number: 43885001Description: CONVERTER, CATALYIC OZONE",1
802170-11 SHUTOFF VALVE,"Part Number: 802170-11Description: VALVE-HIGH PRESSURE SHUTOFF",1
788399-6 AIR/OIL HEAT VALVE,"Part Number: 788399-6Description: VALVE - AIR/OIL HEAT EXCHANGER",1
45-0351-2 LANDING LIGHT,"Part Number: 45-0351-2Description: RETRACTABLE LANDING LIGHT",1
822-1338-205 ATC TRANSPONDER,"Part Number: 822-1338-205Description: ATC TRANSPONDER",1
822-1287-101 TRANSCEIVER,"Part Number: 822-1287-101Description: VHF COMMUNICATIONS TRANSCEIVER",1
822-1821-332 MULTI MODE RECEIVER,"Part Number: 822-1821-332Description: ILS/GPS MULTI-MODE RECEIVER",1
8061-888 MAIN ENGINE CONTROL,"Part Number: 8061-888Description: MAIN ENGINE CONTROL",1
GG436-4004-5 VALVE ISOLATION,"Part Number: GG436-4004-5Description: VALVE ASSY ISOLATIO",1
GG436-2006-11 FLOW CONTROL VALVE,"Part Number: GG436-2006-11Description: FLOW CONTROL VALVE",1
GP422-1102-1 VALVE ASSY,"Part Number: GP422-1102-1Description: VALVE, AFT TANK WATER",1
GG435-3002-21 VALVE OUTFLOW,"Part Number: GG435-3002-21Description: OUTFLOW VALVE",1
2960041-101 CHECK VALVE,"Part Number: 2960041-101Description: CHECK VALVE, REFUEL/DEFUEL",1
GG436-2048-7 RAM AIR VALVE,"Part Number: GG436-2048-7Description: VALVE, RAM-AIR",1
GG433-1005-7 FAN AIR VALVE,"Part Number: GG433-1005-7Description: VALVE, FAN AIR",1
GG436-2036-3 TRIM AIR CHECK VALVE,"Part Number: GG436-2036-3Description: VALVE, CHECK, TRIM AIR",1
P21018 OXYGEN CHECK VALVE,"Part Number: P21018Description: VALVE, CHECK, OXYGEN",1
GP422-1405-3 VALVE ASSY,"Part Number: GP422-1405-3Description: VALVE ASSY, CHECK, FUEL SYSTEM",1
GD467-1802-13 TUBE ASSY,"Part Number: GD467-1802-13Description: WATER INJECTION TUBE",1
GD438-1405-5 TUBE ASSY,"Part Number: GD438-1405-5Description: TUBE ASSY, SENSE LINE",1
GD478-1136-1 TUBE ASSY,"Part Number: GD478-1136-1Description: TUBE ASSY",1
GD467-1803-13 TUBE ASSY,"Part Number: GD467-1803-13Description: TUBE ASSY, PDPS SENSING LINE (LH)",1
GM588-8665-5 TUBE ASSY,"Part Number: GM588-8665-5Description: TUBE ASSY, FUEL DRAIN",1
GD428-1007-33 TUBE ASSY,"Part Number: GD428-1007-33Description: TUBE ASSY, (RH)",1
GM588-2651-1 TUBE ASSY,"Part Number: GM588-2651-1Description: TUBE ASSY FUEL",1
GD428-1008-33 TUBE ASSY,"Part Number: GD428-1008-33Description: TUBE ASSY ENGINE FE",1
GD428-1011-33 TUBE ASSY,"Part Number: GD428-1011-33Description: TUBE ASSY ENGINE FE",1
GM588-8667-5 TUBE ASSY,"Part Number: GM588-8667-5Description: TUBE ASSY, FUEL",1
GD428-1041-11 TUBE ASSY,"Part Number: GD428-1041-11Description: TUBE ASSY FUEL",1
GD428-1039-13 TUBE ASSY,"Part Number: GD428-1039-13Description: TUBE ASSY, FUEL DUMP LINE, AUX TANK",1
GD478-1104-9 TUBE ASSY,"Part Number: GD478-1104-9Description: TUBE ASSY, SUCTION NO.1",1
453-5004 TRANSMITTER ELT,"Part Number: 453-5004Description: EMERGENCY LOCATOR TRANSMITTER",1
15730-001 TOILET ASSY,"Part Number: 15730-001Description: TOILET ASSY, MAGAIR",1
8400021-01 TELELINK,"Part Number: 8400021-01Description: UNIT, DATA LINK",1
15730-180 SWITCH,"Part Number: 15730-180Description: SWITCH, ALTITUDE PRESSURE",1
2335-214 SWITCH,"Part Number: 2335-214Description: SWITCH ASSY PRESSUR",1
8-416-02 PROXIMITY SWITCH,"Part Number: 8-416-02Description: PROXIMITY SWITCH ELECTRONICS UNIT (SYSTEM)",1
979806-12 CONTROL VALVE,"Part Number: 979806-12Description: APU SURGE CONT VALVE",1
773856-19 CHECK VALVE,"Part Number: 773856-19Description: CHECK VALVE ASSY, INTERM PRESS",1
3885081-1 MODULE,"Part Number: 3885081-1Description: MODULE, FLOW SENSOR",1
30-1521-6 POSLIGHT,"Part Number: 30-1521-6Description: LIGHT- REAR POSITION",1
3214304-4 VALVE,"Part Number: 3214304-4Description: HIGH STAGE MOD VALVE",1
71179-2 PITCH MANIFOLD ASSY,"Part Number: 71179-2Description: MANIFOLD ASSY-HYDRAULIC FUSE UNIT,LW",1
45040-1 STATOR AND ROTOR ASSY,"Part Number: 45040-1Description: ALTERNATOR STATOR",1
2780539-107 ISOLATION VALVE,"Part Number: 2780539-107Description: 6-INCH BLEED AIR MANIFOLD ISOLATION VALV",1
2130161-101 OZONE CONVERTER,"Part Number: 2130161-101Description: CONVERTER - OZONE",1
744041B INTEGRATED DRIVE GENERATO,"Part Number: 744041BDescription: INTEGRATED DRIVE GENERATOR",1
2LA003968-00 LIGHT ANTICOLLISION,"Part Number: 2LA003968-00Description: LIGHT-ANTICOLLISION,BEACON",1
342B040000 THERMOSTAT CONTROL,"Part Number: 342B040000Description: TEMPERATURE CONTROL THERMOSTAT",1
65-73762-21 NLG ASSY,"Part Number: 65-73762-21Description: NOSE LANDING GEAR ASSY",1
65C37849-34 TOPKITRE,"Part Number: 65C37849-34Description: TOP KIT - ICE & RAIN",1
2041446-0401 ANTENNA-WEATHER RADAR,"Part Number: 2041446-0401Description: ANTENNA-WEATHER RADAR",1
39-353 CONTROL VALVE,"Part Number: 39-353Description: VALVE CONTROL HYDRAULIC",1
735511A CONSTANT SPEED DRIVE,"Part Number: 735511ADescription: CSD - CONSTANT SPEED DRIVE",1
AL-5118 POWER SUPPLY,"Part Number: AL-5118Description: DIMMABLE PROTECTED PW SUPPLY",1
9DR408176-01 FLASH TUBE ASSY,"Part Number: 9DR408176-01Description: FLASH TUBE ASSY",1
"BRR15817 STRUT, THRUST","Part Number: BRR15817Description: STRUT ASSY THRUST",1
GM127-1562-1 SPACER,"Part Number: GM127-1562-1Description: SPACER",1
GM168-1700-22 SPOILERON,"Part Number: GM168-1700-22Description: INBOARD RIGHT SPOILERON",1
GM127-1562-3 SPACER,"Part Number: GM127-1562-3Description: SPACER",1
DT-A4BA-12 SPEAKER,"Part Number: DT-A4BA-12Description: SPEAKER ASSY",1
GM127-1852-1 SPACER,"Part Number: GM127-1852-1Description: SPACER",1
GM134-1501-2 PANEL ASSY,"Part Number: GM134-1501-2Description: PANEL ASSY",1
CF34-10E6 ENGINE,"Part Number: CF34-10E6Description: ENGINE",1
017766-01 SENSOR ASSY WATER,"Part Number: 017766-01Description: SENSOR, WATER LEVEL",1
GM124-1402-3 SKIN ASSY,"Part Number: GM124-1402-3Description: SKIN ASSY PANEL LH",1
"GE534-0001-1 BOX, AUTO SHUT-OFF","Part Number: GE534-0001-1Description: AUTO SHUT-OFF BOX",1
4015373-834 SERVO DRIVE,"Part Number: 4015373-834Description: SERVO DRIVE ASSEMBLY",1
"980-4700-027 RECORDER, FLIGHT DATA","Part Number: 980-4700-027Description: RECORDER, SOLID STATE FLIGHT DATA, SSFDR",1
L20340 PUMP ASSY,"Part Number: L20340Description: PUMP ASSY WATER",1
GM127-1590-1 RAIL ASSY,"Part Number: GM127-1590-1Description: RAIL ASSY",1
S263-19DG SEMI PROFILE,"Part Number: S263-19DGDescription: SLEEVE, SEMI PROFILE",1
LT-45D POWER SUPPLY,"Part Number: LT-45DDescription: POWER SUPPLY,LAMP DRIVER",1
GG431-2008-5 PLENUM,"Part Number: GG431-2008-5Description: PLENUM ASSY",1
GM417-0115-11 PIN ASSY,"Part Number: GM417-0115-11Description: PIN ASSY SPOILER PC",1
"0856TT1 TUBE, PITOT","Part Number: 0856TT1Description: PITOT STATIC TUBE",1
GG438-2078-1 PIPE ASSY,"Part Number: GG438-2078-1Description: PIPE ASSY",1
GM417-0115-3 PIN,"Part Number: GM417-0115-3Description: PIN SPOILER ACTUATO",1
GG438-2077-3 PIPE ASSY,"Part Number: GG438-2077-3Description: PIPE ASSEMBLY",1
GM175-1821-27 PANEL ASSY,"Part Number: GM175-1821-27Description: PANEL, ACCESS (LH)",1
GC722-0005-14 TRIM,"Part Number: GC722-0005-14Description: TRIM, SIDE INSTRUMENT (RH)",1
GC542-0048-23 BLANK PANEL ASSY,"Part Number: GC542-0048-23Description: PANEL ASSY, BLANK",1
GC515-0006-1 PANEL ASSY,"Part Number: GC515-0006-1Description: PANEL ASSY",1
AL-2502 DIMMING INTERFACE,"Part Number: AL-2502Description: DIMMING INTERFACE",1
7510100-631 NAVIGATION UNIT,"Part Number: 7510100-631Description: ASSEMBLY, NAV UNIT",1
622-8124-001 MOUNT ASSY,"Part Number: 622-8124-001Description: MOUNT, DUAL COUPLER SHOCK ISO LOW",1
3701B1-1 MONITOR ASSY,"Part Number: 3701B1-1Description: MONITOR ASSY HEATER",1
MF10-08-01 OXYGEN MASK,"Part Number: MF10-08-01Description: OXYGEN MASK, CREW",1
"990-6813-001 MODULE, CONTROLLER","Part Number: 990-6813-001Description: MODULE, CONTROLLER",1
980-6117-001 MICROPHONE,"Part Number: 980-6117-001Description: MICROPHONE MONITOR SYSTEM",1
770011 WATER FILTER,"Part Number: 770011Description: WATER MICROFILTRATION UNIT",1
8ES005045-00 POWER SUPPLY UNIT ANTICOL,"Part Number: 8ES005045-00Description: PSU-POWER SUPPLY UNIT,BEACON",1
746011L CONTROL UNIT GENERATOR,"Part Number: 746011LDescription: CONTROL UNIT GENERATOR",1
321-400-603-0 SWITCH,"Part Number: 321-400-603-0Description: SWITCH, PIVOT DEPLOY",1
60-4983-3 POWER SUPPLY,"Part Number: 60-4983-3Description: POWER SUPPLY, STROBE LIGHT",1
TL10101-104 LATCH,"Part Number: TL10101-104Description: LATCH",1
1151968-1 CONTACTOR,"Part Number: 1151968-1Description: CONTACTOR, 290 AMP LATCHING",1
2061-15-1 POSITION INDICATOR,"Part Number: 2061-15-1Description: FLAP POSITION INDICATOR",1
AE0607F00 FAN,"Part Number: AE0607F00Description: FAN ARINC",1
822-1338-003 ATC TRANSPONDER,"Part Number: 822-1338-003Description: TRANSPONDER ATC/MODE S",1
797147-10-002 CONTROL ASSY,"Part Number: 797147-10-002Description: UNIT, AIR SUPPLY CONTROL",1
10037-0750 INDICATOR,"Part Number: 10037-0750Description: INDICATOR - FUEL QUANTITY",1
5145-1-64 PANEL ASSY,"Part Number: 5145-1-64Description: PANEL ASSY, AUDIO CONTROL",1
9000408-21 TRANSMITTER,"Part Number: 9000408-21Description: TRANSMITTER,FLAP POS",1
1153222-2 PRESSURE SENSOR,"Part Number: 1153222-2Description: SENSOR - PRESSURE, BLEED",1
RD-AX7360-02 AUDIO REPRODUCER,"Part Number: RD-AX7360-02Description: PRERECORDED ANOUNCEMENT & MUSIC",1
762187F CONTROL UNIT,"Part Number: 762187FDescription: OUTLINE BUS POWER CONTROL UNIT",1
2040061-103 PRESSURE SWITCH,"Part Number: 2040061-103Description: SWITCH, DIFFERENTIAL PRESSURE FILTER",1
285A1010-106 SMYD COMPUTER,"Part Number: 285A1010-106Description: STALL MANAGEMENT/YAW DAMPER (SMYD)",1
2313M-347-4 WINDSCREEN WIPER MOTOR,"Part Number: 2313M-347-4Description: WINDSCREEN WIPER MOTOR CONVERTER",1
3291766-2 VALVE-NGS,"Part Number: 3291766-2Description: VALVE, SHUTOFF, NGS",1
8396-5 HORIZONTAL STABILIZER TRIM ACTUATOR,"Part Number: 8396-5Description: HSTA, ACTUATOR, HORIZONTAL STABILIZER TRIM",1
113T4100-402G SPOILER,"Part Number: 113T4100-402GDescription: SPOILER, INBOARD, RH, NO. 7 AND 8",1
2520 BATTERY,"Part Number: 2520Description: BATTERY",1
C12351AA ANTENNA,"Part Number: C12351AADescription: ANTENNA-ADF",1
267SV AIR CHILLER,"Part Number: 267SVDescription: REFRIGERATION UNIT-AIR CHILLER",1
622-5136-202 ANTENNA PEDESTAL MOUNT,"Part Number: 622-5136-202Description: MOUNT-WEATHER RADAR ANTENNA DRIVE UNIT",1
285W0863-7 CABIN CONTROL PANEL,"Part Number: 285W0863-7Description: CABIN CONTROL PANEL MODULE AY",1
"63543-280-2 INDICATOR, DISTANCE","Part Number: 63543-280-2Description: DISTANCE BEARING INDICATOR",1
735632-7 HYDRAULIC SY,"Part Number: 735632-7Description: HSMU-HYDRAULIC SYSTEM MONITORING UNIT",1
822-3158-001 PORTABLE DATA LOADER,"Part Number: 822-3158-001Description: PORTABLE DATA LOADER",1
3945128218 ELEVATOR AILERON COMPUTER,"Part Number: 3945128218Description: COMPUTER, ELEVATOR AND AILERON (ELAC)",1
ADTS405F AIR DATA TEST SET,"Part Number: ADTS405FDescription: AIR DATA TEST SYSTEM FLIGHT LINE",1
822-0314-303 SATELLITE DATA UNIT,"Part Number: 822-0314-303Description: SDU-SATELLITE DATA UNIT",1
376046-103 LINK ASSEMBLY,"Part Number: 376046-103Description: LINK ASSEMBLY",1
2LA005163-25 LIGHT ASSY MAP,"Part Number: 2LA005163-25Description: LIGHT ASSY MAP",1
8ES360000-00 BATTERY PACK,"Part Number: 8ES360000-00Description: BATTERY PACK",1
GM428-4034-1 LINE ASSY FUEL,"Part Number: GM428-4034-1Description: LINE ASSY FUEL",1
2LA006615-22 LIGHT ASSY NAVIGATI,"Part Number: 2LA006615-22Description: LIGHT, RED, NAVIGATION, WING",1
2LA007742-22 LIGHT ASSY,"Part Number: 2LA007742-22Description: LIGHT,REFERENCE EYE",1
AL-1235-T-1003B LAMP ASSY,"Part Number: AL-1235-T-1003BDescription: LAMP, 12MM TRI CURVEDBACK",1
8ES007656-22 CONTROL INDICATION UNIT,"Part Number: 8ES007656-22Description: UNIT, CONTROL INDICATION, LIGHT",1
H321DQM GYROSCOPIC HORIZON,"Part Number: H321DQMDescription: STANDBY ATTITUDE, HORIZON",1
453-6500 NAVELT INTERFACE,"Part Number: 453-6500Description: NAVELT INTERFACE",1
GG436-4002-7 INSULATION JACKET,"Part Number: GG436-4002-7Description: JACKET ASSY INSULAT",1
AE712890-1 HYDRO HOSE,"Part Number: AE712890-1Description: HOSE, FLEX, HYDRAULIC",1
724866-805BK HANDSET,"Part Number: 724866-805BKDescription: HANDSET, COCKPIT",1
GM148-1003-2 FLAP ASSY,"Part Number: GM148-1003-2Description: FLAP ASSY OUTBD RH",1
MXP210-00 SMOKE GOGGLES,"Part Number: MXP210-00Description: SMOKE GOGGLES",1
BR700-710A2-20 ENGINE,"Part Number: BR700-710A2-20Description: SWITCH PRESSURE ENGINE",1
PW4060-1 ENGINE,"Part Number: PW4060-1Description: ENGINE",1
3050000-5 FIRE EXTINGUIHER,"Part Number: 3050000-5Description: FIRE EXTINGUIHER",1
3017600 POWER SECTION,"Part Number: 3017600Description: POWER SECTION",1
3070800-74 CONTROL FUEL ASSY MAIN TURBINE ENGINE,"Part Number: 3070800-74Description: CONTROL FUEL ASSY MAIN TURBINE ENGINE",1
2080M35G11 NOZZLE,"Part Number: 2080M35G11Description: H.P.T. NOZZLE SEGMEN",1
"2119584-4 CONTROL UNIT, APU","Part Number: 2119584-4Description: ELECTRONIC CONTROL UNIT",1
1152426-245 APU START CONVERTER,"Part Number: 1152426-245Description: APU STARTER CONTROL UNIT",1
2704554-2 STARTER MOTOR,"Part Number: 2704554-2Description: STARTER MOTOR",1
1151952-18 STDBY PWR CTRL UNIT,"Part Number: 1151952-18Description: STANDBY POWER CONTROL UNIT",1
"70720860-1 ELECTRONIC CONTROL UNIT, APU","Part Number: 70720860-1Description: ELECTRONIC CONTROL UNIT, APU",1
BA03604 GENERATOR,"Part Number: BA03604Description: GENERATOR-APU",1
3876287-1 MODULE DATA MEMORY,"Part Number: 3876287-1Description: MODULE-DATA MEMORY",1
3883297-7 FLOW DIVIDER ASSY,"Part Number: 3883297-7Description: FLOW DIVIDER ASSY",1
519858-8 MOTOR STARTER,"Part Number: 519858-8Description: MOTOR-ENGINE STARTER",1
3885091-4 VALVE SHUTOFF,"Part Number: 3885091-4Description: VALVE SHUTOFF",1
"3876223-1 TRANSDUCER, MOTIONAL PICKUP","Part Number: 3876223-1Description: TRANSDUCER, MOTIONAL PICKUP",1
3876046-4 SOLENOID VALVE,,1
622-6137-201 RECEIVER ASSY,"Part Number: 622-6137-201Description: VOR/LOC/GS/MB RECEIVER VIR-32",1
4923T56G05 FAN BLADE,"Part Number: 4923T56G05Description: FAN BLADE",1
622-9210-003 TRANSPONDER,"Part Number: 622-9210-003Description: TRANSPONDER, ATC MODE S (TDR-94D)",1
102AU1AF SENSOR,"Part Number: 102AU1AFDescription: SENSOR-TOTAL TEMPERATURE",1
622-7292-101 TRANSCEIVER,"Part Number: 622-7292-101Description: TRANSCEIVER, VHF COMM",1
805813-1-005 CONTROL,"Part Number: 805813-1-005Description: CONTROL ENGINE ELECTRONIC",1
0871BN8-1 ICE DETECTOR,"Part Number: 0871BN8-1Description: ICE DETECTOR",1
782477-1 TORQUE MOTOR,"Part Number: 782477-1Description: TORQUE MOTOR SPEED BIAS",1
90002317-2WTA WHEEL MAIN,"Part Number: 90002317-2WTADescription: EJET WHEEL WITH RUBBER",1
S5307300001400 TAIL CONE ASSY,"Part Number: S5307300001400Description: TAIL CONE ASSY",1
58311-007 CARTRIDGE,"Part Number: 58311-007Description: CARTRIDGE (KIDDE-GRAVINER)",1
58341-001 FUSE,"Part Number: 58341-001Description: FUSE (KIDDE-GRAVINER)",1
48553-121 PRESSURE RELIEF PLUG ASSY (KG),"Part Number: 48553-121Description: PRESSURE RELIEF PLUG ASSY (KG)",1
51653-274 FIREWIRE CONTROL UNIT,"Part Number: 51653-274Description: FIREWIRE CONTROL UNIT (KG)",1
472420-2  FIRE EXTINGUISHER,,1
892480 AIRCRAFT FIREX LIQUID TYPE,"Part Number: 892480Description: AIRCRAFT FIREX LIQUID TYPE",1
"466090 FIREX, PORTABLE","Part Number: 466090Description: FIREX, PORTABLE (HALON 1211)",1
476288 EXTINGUISHER 5,"Part Number: 476288Description: EXTINGUISHER 5 B:C HALOTRON BrX",1
"G825100-3 FIREX, DISPOSABLE","Part Number: G825100-3Description: FIREX, DISPOSABLE (POTTY)",1
"878562-2 CARTRIDGE, DEVICE","Part Number: 878562-2Description: CARTRIDGE, DEVICE (SMALL CUP)",1
"878238-02 FIRE DET, PLUG CONNECTOR","Part Number: 878238-02Description: FIRE DET, PLUG CONNECTOR",1
10-1096-02 DETECTOR / 5’LG,"Part Number: 10-1096-02Description: DETECTOR / 5'LG / (APD) MODEL 101",1
10-1099-01  DETECTOR /10’LG,"Part Number: 10-1099-01Description: DETECTOR /10'LG/(APD)MODEL 101",1
10-1098-01  DETECTOR /28’LG,"Part Number: 10-1098-01Description: DETECTOR /28'LG/(APD)MODEL 101",1
10-1097-02  DETECTOR/26’LG,"Part Number: 10-1097-02Description: DETECTOR/26'LG/ (APD)MODEL 101",1
"446518-1  CARTRIDGE,POWER DEVICE","Part Number: 446518-1Description: CARTRIDGE,POWER DEVICE/1AMP/1W",1
473919-1  FIREX,"Part Number: 473919-1Description: FIREX, 378 CU.IN. DUAL OUTLET",1
473916-3  FIREX,"Part Number: 473916-3Description: FIREX, 125 CU.IN. DUAL OUTLET",1
472247-1  PRESSURE SWITCH,"Part Number: 472247-1Description: PRESSURE SWITCH, TEMPERATURE",1
800275  BRACKET-UPPER,"Part Number: 800275Description: BRACKET-UPPER AIRCRAFT TYPE",1
424634  CARTRIDGE 20PC,"Part Number: 424634Description: CARTRIDGE 20PC PACKAGE KIT 1.4C AS 1.4S",1
G825100-4  FIREX,"Part Number: G825100-4Description: FIREX, DISPOSABLE (POTTY)",1
475089-1  FIREX 224 CU,"Part Number: 475089-1Description: FIREX 224 CU IN DUAL OUTLET",1
474158-3  FIREX,"Part Number: 474158-3Description: FIREX DUAL OUTLET 1400 CU IN",1
PT6A-114A For Sale,,1
