PartNumber,PartName,Description,DamageCategory,risk_level,replacement_interval,boeing_targets,bombardier_targets,mro_targets,geo_targets
3289614-3,VALVE ANTI-ICE,"Part Number: 3289614-3Description: VALVE ANTI ICE SHUTOFF",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
930-2000-001,TRANSCEIVER WEATHER RADAR,"Part Number: 930-2000-001Description: RECEIVER-TRANSMITTER,RADAR",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
1159SCL404-5,BRAKE ASSEMBLY,"Brake Assembly, Overhauled, Dunlop AHA2070, (Sold Exchange) (Call or Email…",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
338-067-014-0,FAN OUTLET GUIDE VANE,"Part Number: 338-067-014-0Description: VANE-OUTLET GUIDE DOUBLET",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
D0001037600000,FLEXIBLE HYDRAULIC HOSE,"Part Number: D0001037600000Description: FLEXIBLE HYDRAULIC HOSE",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
E21330000-1,BRAKE SERVOVALVE,"Part Number: E21330000-1Description: VALVE, DIRECT DRIVE BRAKE",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
L95F50-603,OVERPRESSURE PROTECTOR,"Part Number: L95F50-603Description: PROTECTR-TANK OVERPRESSURE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
0108900-01,RESTRAINT SYSTEM,"Part Number: 0108900-01Description: RESTRAINT SYSTEM",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
3876131-1,IGNITER PLUG,"Part Number: 3876131-1Description: IGNITER PLUG",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
40-622567-002,PRIMARY ACCESS TERMINAL,"Part Number: 40-622567-002Description: PRIMARY ACCESS TERMINAL",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
04P23-12,SOLENOID – BLEED VALVE,"Part Number: 04P23-12Description: SOLENOID - 2.9 3-WAY BLEED VALVE",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
3888058-7,EXCITER-IGNITION,"Part Number: 3888058-7Description: EXCITER-IGNITION, AUXILIARY POWER UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
1603-02-12,"RECORDER, COCKPIT VOICE, CVR-120","Part Number: 1603-02-12Description: RECORDER, COCKPIT VOICE, CVR-120",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
4005-1-011-9006,RESTRAINT SYSTEM ASSY,"Part Number: 4005-1-011-9006Description: RESTRAINT, SEAT BELT",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
GA62923,PIPE ASSY,"Part Number: GA62923Description: PIPE ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
D126111-504,PASSENGER SERVICE UNIT,"Part Number: D126111-504Description: PSU, LONG LOUD SPEAKER (RH)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
7439FT972,SEAL-T RING,"Part Number: 7439FT972Description: SEAL ASSEMBLY AGT RING",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
9527106-501,"BOX, RELAY","Part Number: 9527106-501Description: RELAY BOX ASSY(COCKPIT DOOR)",electrical_systems,High,2 years (or capacity < 80%),"All operators (safety critical), Aging fleet operators",Regional + business aviation electrical needs,"AAR Corp, StandardAero, Electrical component specialists",Harsh electrical environments + older aircraft
4275-1-011-8110,RESTRAINT SYSTEM,"Part Number: 4275-1-011-8110Description: RESTRAINT SYSTEM",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
111-1-1100,"SWITCH, PRESSURE","Part Number: 111-1-1100Description: PRESSURE SWITCH",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2041217-0418,WEATHER RADAR TRANSCEIVER,"Part Number: 2041217-0418Description: TRANSCEIVER-WEATHER RADAR",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
822-0987-003,COUPLER-HF ANTENNA,"Part Number: 822-0987-003Description: HF DIGITAL ANTENNA COUPLER",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
C14135DA,AIR DATA PROBE LEFT,"Part Number: C14135DADescription: PROBE - AIR DATA, LEFT",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
NP157901-22,WINDSHIELD ASSY (RH),"Part Number: NP157901-22Description: WINDSHIELD ASSY (RH)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
LH1460205,DUCT ASSY PYLON,"Part Number: LH1460205Description: DUCT ASSY-PYLON",pneumatic_systems,High,"6,000hrs (vibration monitoring)","High-altitude operators, Environmental control critical","Regional operators, Pressurization-dependent routes","Lufthansa Technik, Heavy maintenance specialists",High-altitude routes + extreme temperature operations
3009243,"BEARING, BALL, FLANGED","Part Number: 3009243Description: BEARING, BALL, FLANGED",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
740-0445-511,BEAM ASSY,"Part Number: 740-0445-511Description: BEAM ASSY, FORWARD CROSSOVER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
PL1100LH01,LIGHT STRIP,"Part Number: PL1100LH01Description: LIGHT STRIP OCEAN TINT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
PR1440B1/2,"SEALANT, 654 SEM-KIT – 6OZ","Part Number: PR1440B1/2Description: SEALANT, 654 SEM-KIT - 6OZ",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
MOBIL,JET OIL II  MIL-PRF-23699,"Part Number: MOBIL JET OIL IIDescription: OIL MOBIL JET II…",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
13100-200,SEAL,"Part Number: 13100-200Description: SEAL DUCT UPLEX",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
PR1826B1/4,SEALANT SEMKIT,"Part Number: PR1826B1/4Description: SEALANT SEMKIT",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
C23502-117-001,BLOCK ASSEMBLY,"Part Number: C23502-117-001Description: BLOCK ASSEMBLY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
BACB30YK10K8X,BOLT,"Part Number: BACB30YK10K8XDescription: BOLT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
517212-4,IGNITER,"Part Number: 517212-4Description: IGNITER",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
APT-482B-1250-60D,"TRANSDUCER, FUEL FILTER DP","Part Number: APT-482B-1250-60DDescription: TRANSDUCER, FUEL DIFFERENTIAL PRESSURE",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
APT-483-1250-1615A,SENSOR,"Part Number: APT-483-1250-1615ADescription: SENSOR, FUEL MANIFOLD PRESS",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
HT3326-5-200,SELF LEVELLING GREEN,"Part Number: HT3326-5-200Description: SELF LEVELING SEALANT GREEN",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
600-10910-5,GASKET WING TANK DOOR,"Part Number: 600-10910-5Description: GASKET, WING TANK DOOR",fuel_systems,High,10 years (or weeping),"FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
697071003,PROPELLER BLADE,"Part Number: 697071003Description: PROPELLER BLADE AND BEARING ASSY",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
DCIN154-052,HEAD ASSY,"Part Number: DCIN154-052Description: HEAD ASSY SOAP DISPENSER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
30903886,CARTRIDGE,"Part Number: 30903886Description: CARTRIDGE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
A9270-1,"HOSE ASSY, ACOC OUTLET","Part Number: A9270-1Description: AIR COOLED OIL COOLER (ACOC) HOSE ASSY",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
PR1425B-1/2-CF,SEALANT,"Part Number: PR1425B-1/2-CFDescription: SEALANT: POLYSULFIDEA/B6OZ CHRO",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
4501089A,NOZZLE ASSY,"Part Number: 4501089ADescription: NOZZLE ASSY, PILOT",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
27A01-30006-21,RING,"Part Number: 27A01-30006-21Description: RING BACK-UP",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
8050917-006,PAPER ROLL,"Part Number: 8050917-006Description: PAPER ROLL",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
810205-3,"VALVE, CHECK","Part Number: 810205-3Description: VALVE, CHECK - FAN BYPASS",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
7026201-803,VDR ASSEMBLY,"Part Number: 7026201-803Description: VHF DIGITAL DATA RADIO MODE 2",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
340-167-902-0,BEARING,"Part Number: 340-167-902-0Description: BEARING ROLLER",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
2293B020000,CHECK VALVE,"Part Number: 2293B020000Description: CHECK VALVE-IP BLEED",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
211505-811,T-DIVIDER ASSY,"Part Number: 211505-811Description: T-DIVIDER ASSY",interior_components,Low,On-condition,"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
442653,HMU-HYDROMECHANICAL UNIT,"Part Number: 442653Description: HYDRO MECHANICAL UNIT",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
8TJ146CFA1,SENSOR – OIL LEVEL,"Part Number: 8TJ146CFA1Description: OIL LEVEL SENSOR QTY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
336-063-001-0,DUCT-AIR,"Part Number: 336-063-001-0Description: DUCT-AIR",pneumatic_systems,High,"6,000hrs (vibration monitoring)","High-altitude operators, Environmental control critical","Regional operators, Pressurization-dependent routes","Lufthansa Technik, Heavy maintenance specialists",High-altitude routes + extreme temperature operations
3031863-001,HYDRAULIC PUMP,"Part Number: 3031863-001Description: PUMP HYDRAULIC",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
1FA14012-8,"ACTUATOR, COWL DOOR","Part Number: 1FA14012-8Description: ACTUATOR-THRUST REVERSER COWL OPENING",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
65-90305-58,"KIT, FILTER","Part Number: 65-90305-58Description: KIT: FILTER ELEMENT,OIL, BOEING 737",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
2383R03-00-1DL,RECEPTACLE,"Part Number: 2383R03-00-1DLDescription: RECEPTACLE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2383SG04-01BP,"STUD, NUT","Part Number: 2383SG04-01BPDescription: STUD NUT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2383GF13-01BP,GROMMET,"Part Number: 2383GF13-01BPDescription: GROMMET,CRES",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
35518-48-400,SENSING ELEMENT,"Part Number: 35518-48-400Description: SENSING ELEMENT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
9258-450,O-RING,"Part Number: 9258-450Description: O-RING, ENCAPSULATED",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
51SP16252-2,DE-ICER,"Part Number: 51SP16252-2Description: DE-ICER DASH8-Q400",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
51SP16256-2,DE-ICER,"Part Number: 51SP16256-2Description: DE-ICER DASH8-Q400",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
170-71180-409,NLG RETRACTION ACTUATOR,"Part Number: 170-71180-409Description: RETRACTION ACTUATOR ASSY",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
D5211026920000,BOLT,"Part Number: D5211026920000Description: BOLT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
150SG1009-5,BRUSH ELECTRICAL,"Part Number: 150SG1009-5Description: BRUSH,STARTER GENERATOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
892480,"EXTINGUISHER-FIRE, PORTABLE","Part Number: 892480Description: WATER PORTABLE FIRE EXTINGUISHER",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
D717-01-100,BATTERY PACK,"Part Number: D717-01-100Description: BATTERY EMER LIGHT",electrical_systems,High,2 years (or capacity < 80%),"All operators (safety critical), Aging fleet operators",Regional + business aviation electrical needs,"AAR Corp, StandardAero, Electrical component specialists",Harsh electrical environments + older aircraft
778000,FILTER-WATER,"Part Number: 778000Description: FILTER, FRESH WATER, RSA2",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
28301-02,MASK ASSY,"Part Number: 28301-02Description: MASK ASSY-DISPOSABLE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
RD-KA8503-04,PASSENGER CONTROL UNIT,"Part Number: RD-KA8503-04Description: PCU-PASSENGER CONTROL UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
32802-1,U-CUP SEAL,"Part Number: 32802-1Description: U-CUP SEAL-FAUCET CARTRIDGE, PLASTIC",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
0121520500-5,VALVE,"Part Number: 0121520500-5Description: IN-LINE MINIATURE FLARELESS CHECK VALVE",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
NP165312-7,WINDOW-SLIDING (LH),"Part Number: NP165312-7Description: L/H #2 SLIDING WINDOW",interior_components,Low,7 years (haze > 30%),"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
B4209-3,RETAINER,"Part Number: B4209-3Description: RET RING ASSEMBLY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2118002-8,"FUEL COMPUTER, DEEC","Part Number: 2118002-8Description: DIGITAL ENGINE CONTROL",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
338-067-007-0,VANE- OGV,"Part Number: 338-067-007-0Description: VANE-OUTLET GUIDE DOUBLET",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
H3479-5,LATCH ASSY,"Part Number: H3479-5Description: PUSH BUTTON LATCH ASSEMBLY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
15-40F-11,SMOKE HOOD,"Part Number: 15-40F-11Description: PBE GASEOUS OXYGEN",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
46108-3,AXLE-MLG,"Part Number: 46108-3Description: AXLE, MLG",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
82551317-005,"SUPPORT ASSY, NET","Part Number: 82551317-005Description: SUPPORT ASSY BAGG NET.",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
BAC70846,PAINT,"Part Number: BAC70846Description: PAINT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
L0060009,FLOODLIGHT,"Part Number: L0060009Description: FLOODLIGHT ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
800485-2-010,"CONTROLLER, APU","Part Number: 800485-2-010Description: ELECTRONIC CONTROL UNIT",air_conditioning,High,6 months (or ΔP > 4 inches H2O),"Desert operators, Hot climate airlines, Cargo (temp control)",Regional hot-climate operators,"Environmental systems specialists, Heavy MRO",Hot climates + cargo temperature-sensitive operations
3900473,DETENT ASSY,"Part Number: 3900473Description: DETENT ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2610-08-1,ELECTRONIC CHRONOMETER,"Part Number: 2610-08-1Description: CHRONOMETER, DIGITAL ELECTRONIC GMT, CLOCK",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
799B020000,"COOLING UNIT,GROUND","Part Number: 799B020000Description: GRU-GROUND REFRIGERATION UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
